ID,Категория культуры,Культура,№,Показатель зерна,Тип поля,Единица измерения,"Примечание
к ед.изм.",Минимальное значение,Редакт. min-знач,Максимальное значение,Редакт max-знач,ГОСТ
262,,Подсолнечный жмых,7,Вредные вещества,Текстовое,Не допускаются,,,,,,
263,,Подсолнечный жмых,8,Семена ядовитых сорных растений,Текстовое,Не допускаются,,,,,,
264,,Подсолнечный жмых,9,Зараженность,Текстовое,Не допускается,,,,,,
265,,Подсолнечный жмых,10,Цвет,Текстовое,Серый различных оттенков,,,,,,
266,,Подсолнечный жмых,11,Запах,Текстовое,"Запах, свойственный подсолнечному шроту, без постороннего запаха",,,,,,
267,,Подсолнечный жмых,13,Остальные показатели,Текстовое,"Анализы на масличность, протеин, клетчатку проводятся по ФОСФА 11 (ИСО)",,,,,,
268,,Подсолнечный жмых,14,Остальные показатели,Текстовое,Остальные показатели качества должны соответствовать ГОСТ - 80 - 96,,,,,,
269,Соевый жмых,Соевый жмых,1,Влажность,Числовое,%,Проценты,Нет,Нет,8,Да,
270,,Соевый жмых,2,Протеин,Числовое,%,Проценты,44,Да,Нет,Нет,
271,,Соевый жмых,3,Масличность,Числовое,%,Проценты,Нет,Нет,8,Да,
272,,Соевый жмых,4,Вредные вещества,Текстовое,Не допускаются,,,,,,
273,,Соевый жмых,5,Семена ядовитых сорных растений,Текстовое,Не допускаются,,,,,,
274,,Соевый жмых,6,Зараженность зерновыми вредителями,Текстовое,Не допускается,,,,,,
275,,Соевый жмых,7,ГМО,Текстовое,Не допускается,,,,,,
276,,Соевый жмых,8,Внешний вид,Текстовое,Рассыпной,,,,,,
277,,Соевый жмых,9,Цвет,Текстовое,"Желто - коричневый, без признаков плесени, ферментации и порчи",,,,,,
278,,Соевый жмых,10,Запах,Текстовое,Свойственный здоровому зерну без запаха фумигантов и других инородных запахов,,,,,,
